ANO4,TRIMESTRE,REGION,total_indigentes,total_pobres_no_ind,total_poblacion,tasa_pobreza,tasa_indigencia
2020,1,42,108755,508349,1791187,0.3445223753857079,0.0607167202531059
2020,1,43,510933,1612877,6197480,0.34268928661326864,0.08244205709417377
2020,1,44,52806,278888,1053222,0.31493265427421757,0.0501375778325937
2019,4,1,1523535,4343780,15320731,0.3829657344678919,0.0994427093589725
2019,4,40,204828,976306,2714803,0.4350717160692691,0.07544856845966355
2019,4,41,124425,504954,1410777,0.4461222432744509,0.08819607918189763
2019,4,42,94430,600724,1786797,0.389050350991187,0.0528487567418123
2019,4,43,457771,1730494,6186175,0.35373473915626374,0.07399903817787243
2019,4,44,60070,281169,1049166,0.3252478635411365,0.05725500063860247
2019,3,1,1370156,3612851,15282040,0.3260694907224428,0.0896579252508173
2019,3,40,148904,895900,2708628,0.3857318169936957,0.05497395729498477
2019,3,41,72698,304470,995820,0.37875117993211627,0.07300315318029363
2019,3,42,119564,496150,1783170,0.3452918117734148,0.06705137479881335
2019,3,43,375783,1572528,6174372,0.3155480427807071,0.0608617362219186
2019,3,44,45174,247693,1044981,0.2802605980395816,0.04322949412477356
2019,2,1,1427851,3959239,15242533,0.3534248539924434,0.09367544095197301
2019,2,40,125707,1024405,2701532,0.4257258474080633,0.0465317456909635
2019,2,41,158665,441637,1404312,0.4274705336136129,0.11298415166999926
2019,2,42,101209,525106,1778773,0.3521050746778819,0.056898210170718805
2019,2,43,445345,1783687,6162691,0.3616978362212222,0.0722646973538021
2019,2,44,41705,287999,1040251,0.31694658308427487,0.04009128566086454
2019,1,1,1088506,4058728,15203221,0.33856207181359793,0.0715970648588217
2019,1,40,170437,838595,2694336,0.3745011757999002,0.06325751502410984
2019,1,41,149297,445909,1400944,0.42486066537991524,0.10656885642823696
2019,1,42,115440,497319,1774351,0.34534260695882607,0.0650604080027007
2019,1,43,442073,1588789,6151551,0.33013820416997275,0.07186366495213971
2019,1,44,39110,236592,1036097,0.2660967071615882,0.03774743098377854
2018,4,1,1190928,4052323,15113826,0.34691751777478447,0.07879725491083463
2018,4,40,146942,882586,2672225,0.38526995294183686,0.054988633067948996
2018,4,41,140464,473078,1375569,0.44602778922758507,0.10211337999038943
2018,4,42,92046,493581,1687715,0.3469940126146891,0.05453882912695568
2018,4,43,448195,1700090,6027376,0.35642126855865636,0.07435988728760243
2018,4,44,38461,257729,1037359,0.28552314097626763,0.03707588211988328
2018,3,1,1011932,3082160,15070921,0.2716550634164959,0.06714466886263952
2018,3,40,137687,687435,2665538,0.3095517677857153,0.05165448776194524
2018,3,41,105185,383122,1372332,0.35582278923758975,0.07664690468487217
2018,3,42,47388,434289,1683994,0.28603249180222734,0.0281402427799624
2018,3,43,323908,1391114,6016021,0.28507580010109673,0.053840902483551834
2018,3,44,32114,194870,1032789,0.21977770870913613,0.03109444426693158
2018,2,1,753271,3639761,15028303,0.29231723635063783,0.05012349032355815
2018,2,40,106214,727857,2658700,0.3137138451122729,0.03994959942829202
2018,2,41,67879,355397,1369134,0.3091560066436156,0.049578054449016674
2018,2,42,56549,445040,1680192,0.298530763150878,0.03365627261646288
2018,2,43,332709,1378820,6004057,0.28506208385430054,0.05541403087945367
2018,2,44,28059,173839,1027941,0.19641010524923122,0.027296313698937973
2018,1,1,845017,3082942,14988256,0.26206911597987115,0.05637860735765388
2018,1,40,82794,615081,2652358,0.2631149339568791,0.03121524319115293
2018,1,41,47592,350540,1366111,0.2914345906006174,0.03483757908398366
2018,1,42,49175,314018,1676551,0.21663104790728108,0.0293310492791451
2018,1,43,316040,1160086,5992984,0.24630901734428123,0.05273499812447355
2018,1,44,22369,193014,1023898,0.21035591435865683,0.021846902718825507
2017,4,1,787856,3211428,14946732,0.2675691248093563,0.05271092035369337
2017,4,40,101291,577189,2645500,0.25646569646569645,0.03828803628803629
2017,4,41,71939,400129,1362933,0.34636185344400644,0.05278249187597629
2017,4,42,40932,367110,1672558,0.24396284015262848,0.02447269392152619
2017,4,43,219847,1305473,5981596,0.2550021766765927,0.036753903138894706
2017,4,44,13733,181814,1019112,0.19187979338875413,0.013475457064581715
2017,3,1,815816,2764452,14904936,0.24020686838239358,0.054734619457607867
2017,3,40,103934,572524,2639001,0.25633108892342216,0.03938384259801341
2017,3,41,82846,344838,1359643,0.3145561003881166,0.06093217116551918
2017,3,42,83520,383211,1669262,0.27960320189401067,0.05003408691984841
2017,3,43,275719,1239315,5970601,0.2537489944479626,0.04617943821735869
2017,3,44,29675,159375,1015049,0.18624716639295247,0.029235041855122264
2017,2,1,1056636,3348579,14863082,0.29638637531569834,0.07109131201725187
2017,2,40,132691,649718,2631739,0.29729733837587996,0.05041951348518983
2017,2,41,66045,384677,1356662,0.3322286612288101,0.048681985638279836
2017,2,42,66983,386385,1665357,0.27223472204458266,0.040221405980819726
2017,2,43,340944,1394811,5958887,0.2912884570558227,0.05721605393758935
2017,2,44,34352,199375,1010531,0.23129127161858468,0.033994009090270366
2017,1,1,1026650,3116659,14822144,0.2795350659121919,0.06926460841292596
2017,1,40,120151,582306,2625529,0.2675487492234898,0.04576258727288863
2017,1,41,85761,365571,1353410,0.3334776601325541,0.0633666073104233
2017,1,42,66175,450160,1661666,0.3107333242661281,0.03982448939798973
2017,1,43,352816,1236394,5947980,0.26718482577278335,0.05931694457614182
2017,1,44,27921,166476,1005747,0.1932861842988346,0.027761454918582906
