ANO4,TRIMESTRE,PROVINCIA,label_provincia,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo
2024,1,Salta,Salta,286780,17057,303837,663267,0.4580915377969958,0.4323748957810354,0.056138653291073835
2024,1,San Juan,San Juan,235554,11027,246581,552917,0.44596386076029493,0.4260205419619943,0.04471958504507646
2024,1,San Luis,San Luis,110454,4006,114460,248541,0.46052763930297214,0.4444095742754717,0.03499912633234318
2024,1,Santa Cruz,Santa Cruz,56745,1318,58063,130513,0.44488288522982383,0.4347842743634734,0.02269948159757505
2024,1,Santa Fe,Santa Fe,850064,55684,905748,1899906,0.47673305942504524,0.4474242409887647,0.06147846862482721
2024,1,Santiago del Estero,Santiago del Estero,182449,4706,187155,415120,0.45084553863942955,0.43950905762189246,0.02514493334401966
2024,1,Tierra del Fuego,Tierra del Fuego,83873,4968,88841,177384,0.5008399855680332,0.47283294998421505,0.055920126968404225
2024,1,Tucumán,Tucumán,381867,32879,414746,921605,0.450025770259493,0.41434996554923204,0.07927502616058986
2023,4,Buenos Aires,Buenos Aires,6731867,532143,7264010,15020380,0.4836102681822963,0.44818220311337,0.07325747073586077
2023,4,Catamarca,Catamarca,103154,4089,107243,231116,0.4640223956800914,0.446329981481161,0.038128362690338764
2023,4,Chaco,Chaco,176181,10378,186559,423141,0.4408908614386221,0.4163647578466752,0.05562851430378593
2023,4,Chubut,Chubut,163972,4608,168580,402474,0.4188593548900053,0.40741016811023817,0.027334203345592598
2023,4,Ciudad Autónoma de Buenos Aires,CABA,1590329,52231,1642560,3005134,0.5465846115347934,0.5292040221833701,0.03179853399571401
2023,4,Corrientes,Corrientes,166643,6313,172956,389834,0.44366576542836184,0.4274716930796185,0.03650061287263813
2023,4,Córdoba,Córdoba,844424,46686,891110,1777485,0.5013319381035565,0.47506673755334083,0.05239083839256657
2023,4,Entre Ríos,Entre Ríos,188122,6005,194127,450286,0.4311193330461085,0.41778336435065716,0.030933358059414714
2023,4,Formosa,Formosa,98874,2198,101072,261562,0.38641698717703643,0.3780136258324986,0.02174687351590945
2023,4,Jujuy,Jujuy,162686,8363,171049,357826,0.478022837915635,0.45465114329310896,0.0488924226391268
