ANO4,TRIMESTRE,AGLOMERADO,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo
2022,1er Trimestre,Ciudad de Buenos Aires,1496696,76732,1573428,3003204,0.5239164572236851,0.4983664113393562,0.04876740467310865
2022,1er Trimestre,Partidos del GBA,5281883,460185,5742068,12658083,0.45362856287164494,0.41727353186102506,0.08014272906555617
2022,1er Trimestre,Mar del Plata - Batan,304598,18789,323387,652632,0.49551201902450387,0.4667224408242317,0.058100665765785264
2022,1er Trimestre,Rio Cuarto,78788,2908,81696,179775,0.45443471005423447,0.4382589347795856,0.03559537798668234
2022,1er Trimestre,San Nicolas - Villa Constitucion,75038,5451,80489,196357,0.4099115386770016,0.3821508782472741,0.06772353986258992
2022,1er Trimestre,Rawson - Trelew,66021,2600,68621,148139,0.4632203538568507,0.4456692700774273,0.03788927587764678
2022,1er Trimestre,Viedma - Carmen de Patagones.,31058,313,31371,84041,0.37328208850442046,0.36955771587677444,0.009977367632526856
2021,4to Trimestre,Gran La Plata,382744,13845,396589,908743,0.43641491598834875,0.421179585427343,0.03491019670237954
2021,4to Trimestre,Bahia Blanca - Cerri,138360,12290,150650,316865,0.47543906711059913,0.43665283322550613,0.08157982077663459
2021,4to Trimestre,Gran Rosario,613875,46163,660038,1332888,0.49519389476085013,0.46056007706574,0.06993991255048952
2021,4to Trimestre,Gran Santa Fe,229869,15392,245261,539978,0.45420554170725475,0.42570067669423567,0.06275763370450255
2021,4to Trimestre,Gran Parana,114370,7462,121832,282621,0.43107907763400455,0.40467622717349383,0.06124827631492547
2021,4to Trimestre,Posadas,168529,6951,175480,378060,0.46415912818071203,0.445773157699836,0.039611351720993844
2021,4to Trimestre,Gran Resistencia,161300,14737,176037,417894,0.42124797197375413,0.3859830483328308,0.08371535529462557
2021,4to Trimestre,Cdro. Rivadavia - R.Tilly,97615,2451,100066,242747,0.41222342603616113,0.40212649383926474,0.02449383406951412
2021,4to Trimestre,Gran Mendoza,479876,35263,515139,1036336,0.49707720276049466,0.4630505936298652,0.06845336889655025
2021,4to Trimestre,Corrientes,163495,3406,166901,384022,0.434613121123269,0.4257438375926379,0.020407307325899786
2021,4to Trimestre,Gran Cordoba,710846,79981,790827,1576770,0.5015487357065394,0.45082415317389346,0.10113589950773051
2021,4to Trimestre,Concordia,63597,4124,67721,162419,0.41695245014437965,0.39156133211015953,0.06089691528477134
2021,4to Trimestre,Formosa,87160,2598,89758,256392,0.35008112577615524,0.339948204312147,0.028944495198199603
2021,4to Trimestre,Neuquen - Plottier,134744,8436,143180,313009,0.45743093649064404,0.4304796347708852,0.05891884341388462
2021,4to Trimestre,S. del Estero - La Banda,169756,3315,173071,407272,0.42495187491406233,0.4168123514506276,0.019153988825395356
2021,4to Trimestre,Jujuy - Palpala,153759,6559,160318,351394,0.45623431248114654,0.4375686551278622,0.04091243653239187
2021,4to Trimestre,Rio Gallegos,51385,1976,53361,125458,0.42532959237354334,0.4095793014395256,0.037030790277543524
2021,4to Trimestre,Gran Catamarca,89722,6046,95768,226309,0.42317362544132137,0.3964579402498354,0.06313173502631358
2021,4to Trimestre,Salta,281690,18467,300157,646741,0.46410696090088616,0.43555302663662887,0.06152446886129592
2021,4to Trimestre,La Rioja,97311,4353,101664,227148,0.4475672248930213,0.4284035078451054,0.04281751652502361
2021,4to Trimestre,San Luis - El Chorrillo,96954,4038,100992,240791,0.41941766926504725,0.4026479394993999,0.0399833650190114
2021,4to Trimestre,Gran San Juan,229365,12613,241978,542478,0.44606048540217297,0.42280977293088384,0.05212457330831728
2021,4to Trimestre,Gran Tucuman - T. Viejo,363901,32436,396337,908742,0.4361380897988648,0.40044479071067474,0.08183944471497741
2021,4to Trimestre,Santa Rosa - Toay,56118,4179,60297,129356,0.46613222424935835,0.43382603048950186,0.06930693069306931
2021,4to Trimestre,Ushuaia - Rio Grande,70648,4035,74683,169753,0.4399509876114119,0.4161811573285892,0.05402835986770751
2021,4to Trimestre,Ciudad de Buenos Aires,1517961,72856,1590817,3002735,0.5297893420498312,0.505526128679354,0.045797851041320274
2021,4to Trimestre,Partidos del GBA,5366674,480120,5846794,12620949,0.4632610432068143,0.4252195298467651,0.08211679768433777
2021,4to Trimestre,Mar del Plata - Batan,298119,27438,325557,651349,0.49981960515791074,0.4576947227983769,0.08428017213575503
2021,4to Trimestre,Rio Cuarto,79055,4775,83830,179415,0.4672407546749157,0.4406264805060892,0.0569605153286413
2021,4to Trimestre,San Nicolas - Villa Constitucion,74921,6017,80938,196106,0.41272577075663164,0.3820433847001112,0.07434085349279695
2021,4to Trimestre,Rawson - Trelew,67251,3993,71244,147814,0.4819841151717699,0.45497043581798746,0.05604682499578912
2021,4to Trimestre,Viedma - Carmen de Patagones.,32612,524,33136,83814,0.39535161190254614,0.38909967308564203,0.015813616610333172
2021,3er Trimestre,Gran La Plata,370302,26775,397077,906234,0.43816166685425617,0.4086163176398149,0.06743024652649235
2021,3er Trimestre,Bahia Blanca - Cerri,138897,12681,151578,316457,0.47898450658383285,0.43891271167962786,0.08365989787436172
2021,3er Trimestre,Gran Rosario,611686,52056,663742,1330856,0.4987331461856129,0.45961847111933973,0.07842806391640125
2021,3er Trimestre,Gran Santa Fe,231729,21726,253455,538938,0.47028600692472977,0.42997339211560515,0.08571935846599989
2021,3er Trimestre,Gran Parana,116949,8509,125458,282222,0.4445365705012366,0.41438654676106046,0.0678234947153629
2021,3er Trimestre,Posadas,162032,9299,171331,376903,0.4545758457746423,0.42990371527952814,0.054275058220637246
2021,3er Trimestre,Gran Resistencia,157284,8789,166073,417284,0.3979855446170953,0.37692315065998216,0.052922509980550723
2021,3er Trimestre,Cdro. Rivadavia - R.Tilly,98312,3406,101718,241607,0.4210060138986039,0.4069087402268974,0.033484732299101434
2021,3er Trimestre,Gran Mendoza,475209,43505,518714,1034362,0.5014820730073224,0.459422329899977,0.0838708806779844
2021,3er Trimestre,Corrientes,162009,3747,165756,383321,0.43242086919318273,0.4226457720813626,0.022605516542387606
2021,3er Trimestre,Gran Cordoba,700814,89733,790547,1574374,0.5021341815858239,0.445138194609413,0.11350748279355939
2021,3er Trimestre,Concordia,63218,3888,67106,162162,0.4138207471540805,0.3898447231780565,0.057938187345393855
2021,3er Trimestre,Formosa,81542,4442,85984,255751,0.3362020089853021,0.31883355294798454,0.05166077409750651
2021,3er Trimestre,Neuquen - Plottier,131053,9839,140892,311976,0.451611662435572,0.42007398004974744,0.06983363143400619
2021,3er Trimestre,S. del Estero - La Banda,173215,2587,175802,406456,0.4325240616450489,0.42615928907434014,0.014715418482156063
2021,3er Trimestre,Jujuy - Palpala,151853,7265,159118,350588,0.4538603717183703,0.4331380423745251,0.04565793939089229
2021,3er Trimestre,Rio Gallegos,48532,2918,51450,124917,0.4118734839933716,0.38851397327825676,0.05671525753158406
2021,3er Trimestre,Gran Catamarca,88002,4509,92511,225680,0.4099211272598369,0.3899415101028004,0.0487401498200214
2021,3er Trimestre,Salta,270673,20524,291197,644875,0.4515557278542353,0.4197294049234348,0.07048149534507567
2021,3er Trimestre,La Rioja,100271,3701,103972,226249,0.4595467825272156,0.44318869917657094,0.035596122032855
2021,3er Trimestre,San Luis - El Chorrillo,99263,4923,104186,239934,0.4342277459634733,0.41370960347428876,0.04725203002322769
2021,3er Trimestre,Gran San Juan,223007,11795,234802,541289,0.4337830622828101,0.41199248460619003,0.05023381402202707
2021,3er Trimestre,Gran Tucuman - T. Viejo,356816,36760,393576,907220,0.43382641476157935,0.3933070258592183,0.09340000406528853
2021,3er Trimestre,Santa Rosa - Toay,54970,6053,61023,129048,0.4728705597917054,0.425965532205071,0.09919210789374498
2021,3er Trimestre,Ushuaia - Rio Grande,73140,3685,76825,168859,0.45496538532148123,0.43314244428783777,0.04796615684998373
2021,3er Trimestre,Ciudad de Buenos Aires,1491822,111595,1603417,3002328,0.5340579043995193,0.49688841459027794,0.06959823926027976
2021,3er Trimestre,Partidos del GBA,5257030,551625,5808655,12583808,0.4615975545717163,0.41776145980612545,0.0949660463566867
2021,3er Trimestre,Mar del Plata - Batan,264835,30586,295421,650049,0.4544595868926804,0.4074077492619787,0.1035336011996439
