ANO4,TRIMESTRE,PROVINCIA,label_provincia,total_indigentes,total_pobres_no_ind,total_poblacion,tasa_pobreza,tasa_indigencia
2023,4,Córdoba,Córdoba,209393,530940,1777476,0.41650801473550136,0.11780355965425131
2023,4,Entre Ríos,Entre Ríos,62537,156043,450291,0.4854194287693958,0.13888130120299985
2023,4,Formosa,Formosa,42230,79956,261563,0.4671379361759882,0.16145249901553355
2023,4,Jujuy,Jujuy,61983,101893,357808,0.45799982113312165,0.1732297768635693
2023,4,La Pampa,La Pampa,27202,27667,131726,0.4165388761520125,0.2065044106706345
2023,4,La Rioja,La Rioja,23175,97619,234292,0.5155703139671862,0.09891502910897512
2023,4,Mendoza,Mendoza,171683,333573,1051902,0.48032611402963393,0.16321197221794426
2023,4,Misiones,Misiones,55837,116661,386786,0.4459778792407171,0.14436148154276526
2023,4,Neuquén,Neuquén,31000,79593,320546,0.3450144441047463,0.09670998858198199
2023,4,Río Negro,Río Negro,5470,32722,85483,0.4467788917094627,0.06398933121205386
2023,4,Salta,Salta,81593,241623,661387,0.48869421382639816,0.12336650100470678
2023,4,San Juan,San Juan,54873,231151,551843,0.5183068372707454,0.09943589028038771
2023,4,San Luis,San Luis,7502,63862,247727,0.28807517953230777,0.030283336091746157
2023,4,Santa Cruz,Santa Cruz,8249,47827,129976,0.43143349541453807,0.06346556287314581
2023,4,Santa Fe,Santa Fe,280905,550480,1896830,0.4383023254587918,0.14809181634621973
2023,4,Santiago del Estero,Santiago del Estero,69971,175956,414293,0.5936064572657516,0.16889254706210338
2023,4,Tierra del Fuego,Tierra del Fuego,4395,51387,176575,0.31591108594081835,0.024890273254990797
2023,4,Tucumán,Tucumán,123210,316297,920113,0.4776663301138012,0.1339074657134504
2023,3,Buenos Aires,Buenos Aires,1736152,4523116,14979811,0.4178469274412074,0.11589945961267469
2023,3,Catamarca,Catamarca,20258,71230,230477,0.39695067186747485,0.08789597226621311
2023,3,Chaco,Chaco,91725,189752,422507,0.6662067137349204,0.217096994842689
2023,3,Chubut,Chubut,22125,131818,400967,0.3839293507944544,0.05517910451483538
2023,3,Ciudad Autónoma de Buenos Aires,CABA,128725,431233,3004998,0.18634222052726823,0.04283696694640063
