ANO4,TRIMESTRE,AGLOMERADO,gini,p90,p10,ratio_p90_p10
2021,2do Trimestre,Formosa,0.35860001547303,29060.000000000015,5666.67,5.128232277510428
2021,2do Trimestre,Neuquen - Plottier,0.41553227518033964,60000,8900,6.741573033707865
2021,2do Trimestre,S. del Estero - La Banda,0.3626918283555369,30950,7000,4.421428571428572
2021,2do Trimestre,Jujuy - Palpala,0.3457713257739101,32180.00000000002,7000,4.59714285714286
2021,2do Trimestre,Rio Gallegos,0.38868601818927573,60000,9350.000000000002,6.41711229946524
2021,2do Trimestre,Gran Catamarca,0.39180044343999043,34050.000000000065,5100,6.676470588235307
2021,2do Trimestre,Salta,0.41968163048238694,40000,5575,7.174887892376682
2021,2do Trimestre,La Rioja,0.3052635418122236,30000,8000,3.75
2021,2do Trimestre,San Luis - El Chorrillo,0.3488324036885331,38751.99999999999,8100,4.784197530864197
2021,2do Trimestre,Gran San Juan,0.34560263499457733,35000,7000,5
2021,2do Trimestre,Gran Tucuman - T. Viejo,0.41007560235544815,34500,5241.665,6.581878086447722
2021,2do Trimestre,Santa Rosa - Toay,0.46026371812217803,59733.33400000002,6060,9.85698580858086
2021,2do Trimestre,Ushuaia - Rio Grande,0.41354384413031653,68000.00000000012,10000,6.800000000000011
2021,2do Trimestre,Ciudad de Buenos Aires,0.3807743948156457,86666.67,15000,5.777778
2021,2do Trimestre,Partidos del GBA,0.40798817592087744,46149.99999999998,6154.000000000004,7.499187520311985
2021,2do Trimestre,Mar del Plata - Batan,0.48883275644639923,42000,5833.33,7.200004114288065
2021,2do Trimestre,Rio Cuarto,0.38503210930375076,43333.33,7975.000000000002,5.433646394984325
2021,2do Trimestre,San Nicolas - Villa Constitucion,0.38327090367482697,40000,6295.000000000002,6.354249404289116
2021,2do Trimestre,Rawson - Trelew,0.4355687932113881,69000,8416.67,8.198016555240969
2021,2do Trimestre,Viedma - Carmen de Patagones.,0.3370920649328468,48500,8750,5.542857142857143
2021,1er Trimestre,Gran La Plata,0.4499201586159387,50000,4200,11.904761904761905
2021,1er Trimestre,Bahia Blanca - Cerri,0.43700075923071324,60150.00000000003,6500,9.253846153846158
2021,1er Trimestre,Gran Rosario,0.4248963751080339,49500,5218.333000000001,9.485787894333303
2021,1er Trimestre,Gran Santa Fe,0.4062288005672485,41666.67,6666.67,6.249997375001312
2021,1er Trimestre,Gran Parana,0.3414407083108131,39626.66900000004,7850.000000000002,5.047983312101914
2021,1er Trimestre,Posadas,0.387342515333728,37383.33100000001,5946,6.287139421459807
2021,1er Trimestre,Gran Resistencia,0.3908519975011302,30000,5000,6
2021,1er Trimestre,Cdro. Rivadavia - R.Tilly,0.35428185057523365,66666.67,12025,5.544005821205821
2021,1er Trimestre,Gran Mendoza,0.4281915187490313,47000,6400,7.34375
